State,Industry,Series.ID,Month,Turnover
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Jan,97.2
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Feb,99.9
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Mar,108.6
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Apr,100.1
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 May,110
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Jun,108.5
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Jul,113.8
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Aug,119.8
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Sep,113.5
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Oct,107.5
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Nov,111.1
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2023 Dec,116.7
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2024 Jan,99.8
ACT,"Cafes, restaurants and takeaway food services",A3349606J,2024 Feb,103.1
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Jan,41
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Feb,34.2
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Mar,40
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Apr,44.5
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 May,45.2
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Jun,42
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Jul,39.9
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Aug,39.2
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Sep,42.6
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Oct,43.5
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Nov,54.7
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2023 Dec,68.8
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2024 Jan,41.6
ACT,"Clothing, footwear and personal accessory retailing",A3349608L,2024 Feb,36.6
ACT,Department stores,A3349609R,2023 Jan,33.7
ACT,Department stores,A3349609R,2023 Feb,25.7
ACT,Department stores,A3349609R,2023 Mar,33.2
ACT,Department stores,A3349609R,2023 Apr,36.9
ACT,Department stores,A3349609R,2023 May,35.5
ACT,Department stores,A3349609R,2023 Jun,33.7
ACT,Department stores,A3349609R,2023 Jul,33.3
ACT,Department stores,A3349609R,2023 Aug,30.7
ACT,Department stores,A3349609R,2023 Sep,34.2
ACT,Department stores,A3349609R,2023 Oct,35.1
ACT,Department stores,A3349609R,2023 Nov,45.2
ACT,Department stores,A3349609R,2023 Dec,62.7
ACT,Department stores,A3349609R,2024 Jan,32
ACT,Department stores,A3349609R,2024 Feb,26.8
ACT,Food retailing,A3349688X,2023 Jan,254.8
ACT,Food retailing,A3349688X,2023 Feb,243.9
ACT,Food retailing,A3349688X,2023 Mar,267.9
ACT,Food retailing,A3349688X,2023 Apr,265.7
ACT,Food retailing,A3349688X,2023 May,265.1
ACT,Food retailing,A3349688X,2023 Jun,254.5
ACT,Food retailing,A3349688X,2023 Jul,264.2
ACT,Food retailing,A3349688X,2023 Aug,264.3
ACT,Food retailing,A3349688X,2023 Sep,264.6
ACT,Food retailing,A3349688X,2023 Oct,274.2
ACT,Food retailing,A3349688X,2023 Nov,275.2
ACT,Food retailing,A3349688X,2023 Dec,305.4
ACT,Food retailing,A3349688X,2024 Jan,262.2
ACT,Food retailing,A3349688X,2024 Feb,259.3
ACT,Household goods retailing,A3349457R,2023 Jan,127.9
ACT,Household goods retailing,A3349457R,2023 Feb,119.4
ACT,Household goods retailing,A3349457R,2023 Mar,124.4
ACT,Household goods retailing,A3349457R,2023 Apr,114.5
ACT,Household goods retailing,A3349457R,2023 May,120.7
ACT,Household goods retailing,A3349457R,2023 Jun,123.5
ACT,Household goods retailing,A3349457R,2023 Jul,117.6
ACT,Household goods retailing,A3349457R,2023 Aug,116.6
ACT,Household goods retailing,A3349457R,2023 Sep,126.6
ACT,Household goods retailing,A3349457R,2023 Oct,129.9
ACT,Household goods retailing,A3349457R,2023 Nov,145.8
ACT,Household goods retailing,A3349457R,2023 Dec,153.6
ACT,Household goods retailing,A3349457R,2024 Jan,122.1
ACT,Household goods retailing,A3349457R,2024 Feb,114.2
ACT,Other retailing,A3349607K,2023 Jan,79
ACT,Other retailing,A3349607K,2023 Feb,76.2
ACT,Other retailing,A3349607K,2023 Mar,82.9
ACT,Other retailing,A3349607K,2023 Apr,75.6
ACT,Other retailing,A3349607K,2023 May,83.7
ACT,Other retailing,A3349607K,2023 Jun,78.3
ACT,Other retailing,A3349607K,2023 Jul,80.8
ACT,Other retailing,A3349607K,2023 Aug,81.1
ACT,Other retailing,A3349607K,2023 Sep,82.7
ACT,Other retailing,A3349607K,2023 Oct,85.2
ACT,Other retailing,A3349607K,2023 Nov,99.2
ACT,Other retailing,A3349607K,2023 Dec,110.4
ACT,Other retailing,A3349607K,2024 Jan,84.7
ACT,Other retailing,A3349607K,2024 Feb,83.2
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Jan,1662.5
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Feb,1515.6
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Mar,1687.4
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Apr,1553.8
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 May,1684.8
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Jun,1607.3
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Jul,1630.5
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Aug,1672.6
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Sep,1676.9
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Oct,1718
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Nov,1694.9
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2023 Dec,1757.2
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2024 Jan,1571.6
NSW,"Cafes, restaurants and takeaway food services",A3349789K,2024 Feb,1555.2
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Jan,1059.5
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Feb,896.4
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Mar,1047.2
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Apr,1092.8
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 May,1173.2
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Jun,1105.5
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Jul,1035.3
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Aug,1055.6
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Sep,1097.5
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Oct,1104.9
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Nov,1307.9
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2023 Dec,1647.5
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2024 Jan,1035
NSW,"Clothing, footwear and personal accessory retailing",A3349871W,2024 Feb,969.8
NSW,Department stores,A3349790V,2023 Jan,532.2
