"State","Industry","Series.ID","Month","Turnover"
"V","Department stores","A3349641R",1982 Apr,104.2
"V","Department stores","A3349641R",1982 May,110.2
"V","Department stores","A3349641R",1982 Jun,96.7
"V","Department stores","A3349641R",1982 Jul,104.6
"V","Department stores","A3349641R",1982 Aug,92.5
"V","Department stores","A3349641R",1982 Sep,98.3
"V","Department stores","A3349641R",1982 Oct,102.8
"V","Department stores","A3349641R",1982 Nov,114.6
"V","Department stores","A3349641R",1982 Dec,208.5
"V","Department stores","A3349641R",1983 Jan,81.5
"V","Department stores","A3349641R",1983 Feb,86.6
"V","Department stores","A3349641R",1983 Mar,108
"V","Department stores","A3349641R",1983 Apr,115.3
"V","Department stores","A3349641R",1983 May,112.1
"V","Department stores","A3349641R",1983 Jun,100.1
"V","Department stores","A3349641R",1983 Jul,103.4
"V","Department stores","A3349641R",1983 Aug,101.4
"V","Department stores","A3349641R",1983 Sep,105.2
"V","Department stores","A3349641R",1983 Oct,106.4
"V","Department stores","A3349641R",1983 Nov,123.1
"V","Department stores","A3349641R",1983 Dec,219.4
"V","Department stores","A3349641R",1984 Jan,106.2
"V","Department stores","A3349641R",1984 Feb,97.3
"V","Department stores","A3349641R",1984 Mar,115.5
"V","Department stores","A3349641R",1984 Apr,115
"V","Department stores","A3349641R",1984 May,132.2
"V","Department stores","A3349641R",1984 Jun,116.3
"V","Department stores","A3349641R",1984 Jul,125.5
"V","Department stores","A3349641R",1984 Aug,117.6
"V","Department stores","A3349641R",1984 Sep,118.1
"V","Department stores","A3349641R",1984 Oct,132.6
"V","Department stores","A3349641R",1984 Nov,141.8
"V","Department stores","A3349641R",1984 Dec,240.1
"V","Department stores","A3349641R",1985 Jan,116.6
"V","Department stores","A3349641R",1985 Feb,106.1
"V","Department stores","A3349641R",1985 Mar,119.8
"V","Department stores","A3349641R",1985 Apr,135
"V","Department stores","A3349641R",1985 May,159.5
"V","Department stores","A3349641R",1985 Jun,129.7
"V","Department stores","A3349641R",1985 Jul,135
"V","Department stores","A3349641R",1985 Aug,138.7
"V","Department stores","A3349641R",1985 Sep,127.5
"V","Department stores","A3349641R",1985 Oct,145
"V","Department stores","A3349641R",1985 Nov,158.8
"V","Department stores","A3349641R",1985 Dec,276
"V","Department stores","A3349641R",1986 Jan,126.3
"V","Department stores","A3349641R",1986 Feb,112.4
"V","Department stores","A3349641R",1986 Mar,128.2
"V","Department stores","A3349641R",1986 Apr,141.5
"V","Department stores","A3349641R",1986 May,170
"V","Department stores","A3349641R",1986 Jun,123.1
"V","Department stores","A3349641R",1986 Jul,154.9
"V","Department stores","A3349641R",1986 Aug,134.3
"V","Department stores","A3349641R",1986 Sep,148.6
"V","Department stores","A3349641R",1986 Oct,147.8
"V","Department stores","A3349641R",1986 Nov,151.1
"V","Department stores","A3349641R",1986 Dec,317.5
"V","Department stores","A3349641R",1987 Jan,137.3
"V","Department stores","A3349641R",1987 Feb,116
"V","Department stores","A3349641R",1987 Mar,141.8
"V","Department stores","A3349641R",1987 Apr,164.6
"V","Department stores","A3349641R",1987 May,173.8
