"State","Industry","Series.ID","Month","Turnover"
"NSW","Department stores","A3349790V",2023 Jan,532.2
"NSW","Department stores","A3349790V",2023 Feb,418.6
"NSW","Department stores","A3349790V",2023 Mar,515.1
"NSW","Department stores","A3349790V",2023 Apr,573.1
"NSW","Department stores","A3349790V",2023 May,582.2
"NSW","Department stores","A3349790V",2023 Jun,552.9
"NSW","Department stores","A3349790V",2023 Jul,522.3
"NSW","Department stores","A3349790V",2023 Aug,498
"NSW","Department stores","A3349790V",2023 Sep,561.5
"NSW","Department stores","A3349790V",2023 Oct,563.9
"NSW","Department stores","A3349790V",2023 Nov,734.1
"NSW","Department stores","A3349790V",2023 Dec,1000.3
"NSW","Department stores","A3349790V",2024 Jan,516.2
"NSW","Department stores","A3349790V",2024 Feb,434.1
